product,cluster_column,cluster_label,cluster_name
"Money transfer, virtual currency, or money service",cluster_label_20,30,**Unauthorized Payments & Unreimbursed Losses**
"Money transfer, virtual currency, or money service",cluster_label_20,11,Fraud and Unauthorized Transaction Issues
"Money transfer, virtual currency, or money service",cluster_label_20,12,**Fraudulent Activity with Unresolved Refunds**
"Money transfer, virtual currency, or money service",cluster_label_20,0,**Unauthorized Transfers & Account Fraud**
"Money transfer, virtual currency, or money service",cluster_label_20,36,**Unauthorized Payments & Fraud Prevention Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,4,**P2P Payment Fraud and Transaction Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,31,**Irreversible Zelle Transfer Scams**
"Money transfer, virtual currency, or money service",cluster_label_20,39,Undisclosed Risks and Irreversible Transfers
"Money transfer, virtual currency, or money service",cluster_label_20,23,**Payment Transfer & Account Fraud Issues**
"Money transfer, virtual currency, or money service",cluster_label_20,33,Fraudulent Transaction Dispute & Unresponsive Support
"Money transfer, virtual currency, or money service",cluster_label_20,15,**Unfair Practices and Inadequate Customer Support**
"Money transfer, virtual currency, or money service",cluster_label_20,26,**Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,28,Incorrect Recipient Payments & Refund Difficulties
"Money transfer, virtual currency, or money service",cluster_label_20,48,**Inadequate Dispute Resolution & Consumer Protection Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,6,Dispute Resolution Failures and Consumer Safety Concerns
"Money transfer, virtual currency, or money service",cluster_label_20,2,Unresolved Fraud Dispute Handling
"Money transfer, virtual currency, or money service",cluster_label_20,44,**Failed Fraud Investigation & Dispute Resolution**
"Money transfer, virtual currency, or money service",cluster_label_20,7,**Digital Payment Dispute Handling Concerns**
"Money transfer, virtual currency, or money service",cluster_label_20,29,**Inadequate Fraud Protection & Dispute Resolution**
"Money transfer, virtual currency, or money service",cluster_label_20,34,**Dispute Handling Concerns**
"Money transfer, virtual currency, or money service",cluster_label_20,42,**Reimbursement Request for Disputed Transactions**
"Money transfer, virtual currency, or money service",cluster_label_20,10,**Fraud Prevention and Dispute Resolution Violations**
"Money transfer, virtual currency, or money service",cluster_label_20,24,**Fraud Prevention and Dispute‑Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,18,Inadequate Fraud Prevention and Dispute‑Resolution Practices​
"Money transfer, virtual currency, or money service",cluster_label_20,8,**Fraud Prevention and Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,20,**Fraud Prevention and Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_20,35,**Fraud Prevention and Dispute Resolution Issues**
"Money transfer, virtual currency, or money service",cluster_label_20,25,**Inadequate Fraud Prevention and Unfair Dispute Resolution**
"Money transfer, virtual currency, or money service",cluster_label_20,40,**Fraud Prevention & Dispute Resolution Failure**
"Money transfer, virtual currency, or money service",cluster_label_25,19,**Account Freeze & Funds Withholding Issues**
"Money transfer, virtual currency, or money service",cluster_label_25,4,**Unfair Account Restrictions & Fraud Mishandling**
"Money transfer, virtual currency, or money service",cluster_label_25,30,**Unexplained Account Freezes & Withheld Funds**
"Money transfer, virtual currency, or money service",cluster_label_25,22,**Unauthorized Transaction & Fraud Issues**
"Money transfer, virtual currency, or money service",cluster_label_25,11,**Unresolved Banking Disputes and Account Access Problems**
"Money transfer, virtual currency, or money service",cluster_label_25,9,**Unresolved Fraud and Dispute Handling Failures**
"Money transfer, virtual currency, or money service",cluster_label_25,2,**Financial Fraud & Unauthorized Transaction Disputes**
"Money transfer, virtual currency, or money service",cluster_label_25,5,**Refund Requests for Unauthorized Payments**
"Money transfer, virtual currency, or money service",cluster_label_25,27,**Digital Wallet Fund Access & Fraud Complaints**
"Money transfer, virtual currency, or money service",cluster_label_25,0,**Unjust Account Restrictions & Holds**
"Money transfer, virtual currency, or money service",cluster_label_25,3,**Unresolved Payment Disputes and Account Holds**
"Money transfer, virtual currency, or money service",cluster_label_25,7,**Payment Disputes & Account Access Issues**
"Money transfer, virtual currency, or money service",cluster_label_25,32,**Unauthorized Access & Fund Retrieval Issues**
"Money transfer, virtual currency, or money service",cluster_label_25,8,**P2P Transfer Scams & Unresolved Errors**
"Money transfer, virtual currency, or money service",cluster_label_25,16,**Payment Disputes & Unjust Account Restrictions**
"Money transfer, virtual currency, or money service",cluster_label_25,12,**Unresolved Fraud & Unauthorized Transaction Complaints**
"Money transfer, virtual currency, or money service",cluster_label_25,15,**Unauthorized Transfers & Account Compromise**
"Money transfer, virtual currency, or money service",cluster_label_25,21,"**Zelle Fraud, Unauthorized Transfers & Service Failures**"
"Money transfer, virtual currency, or money service",cluster_label_25,31,**Irreversible Peer‑to‑Peer Payment Fraud**
"Money transfer, virtual currency, or money service",cluster_label_25,6,**Fraud Prevention & Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_25,26,**Inadequate Dispute Handling & Consumer Safety Risks**
"Money transfer, virtual currency, or money service",cluster_label_25,28,**P2P Payment Misrouting & Refund Obstacles**
"Money transfer, virtual currency, or money service",cluster_label_25,23,**Dispute Handling and Consumer Protection Failures**
"Money transfer, virtual currency, or money service",cluster_label_25,14,Consumer Protection & Dispute‑Resolution Failures
"Money transfer, virtual currency, or money service",cluster_label_25,13,**Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_25,1,"Weak Peer‑to‑Peer Payment Dispute Handling and Consumer Protection

"
"Money transfer, virtual currency, or money service",cluster_label_25,29,**Inadequate Fraud Protection & Dispute Resolution**
"Money transfer, virtual currency, or money service",cluster_label_25,10,**Fraud Prevention and Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_25,24,**Deficient Fraud Prevention and Dispute Handling**
"Money transfer, virtual currency, or money service",cluster_label_25,18,**Fraud Protection and Dispute Resolution Violations**
"Money transfer, virtual currency, or money service",cluster_label_25,20,**Fraud Prevention and Dispute Resolution Violations**
"Money transfer, virtual currency, or money service",cluster_label_25,17,**Failure to Prevent Fraud and Resolve Disputes**
"Money transfer, virtual currency, or money service",cluster_label_25,25,Consumer Financial Protection Violations
"Money transfer, virtual currency, or money service",cluster_label_30,19,**Account Freeze and Funds Withholding Issues**
"Money transfer, virtual currency, or money service",cluster_label_30,1,**Payment Platform Fraud & Funds Withholding**
"Money transfer, virtual currency, or money service",cluster_label_30,0,**Denied Fraud Disputes & Account Mismanagement**
"Money transfer, virtual currency, or money service",cluster_label_30,22,**Unauthorized Transactions & Funds Misappropriation**
"Money transfer, virtual currency, or money service",cluster_label_30,7,Unauthorized Transaction & Fraud Disputes
"Money transfer, virtual currency, or money service",cluster_label_30,9,**Unresolved Fraudulent Transaction Dispute Failures**
"Money transfer, virtual currency, or money service",cluster_label_30,11,Refund Requests for Unauthorized Transactions
"Money transfer, virtual currency, or money service",cluster_label_30,8,**Unresolved Transaction Disputes and Fraud Claims**
"Money transfer, virtual currency, or money service",cluster_label_30,5,Digital Wallet Account & Payment Disputes
"Money transfer, virtual currency, or money service",cluster_label_30,3,**Irreversible Transfer Fraud**
"Money transfer, virtual currency, or money service",cluster_label_30,16,**Account Lockouts & Unresolved Transaction Disputes**
"Money transfer, virtual currency, or money service",cluster_label_30,15,**Unauthorized Transfers & Account Compromise**
"Money transfer, virtual currency, or money service",cluster_label_30,6,**P2P Payment Scam & Irrecoverable Funds**
"Money transfer, virtual currency, or money service",cluster_label_30,13,**Failure to Prevent Fraud and Resolve Disputes**
"Money transfer, virtual currency, or money service",cluster_label_30,12,**Inadequate Dispute Handling and Consumer Safety Risks**
"Money transfer, virtual currency, or money service",cluster_label_30,23,**Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_30,4,**Inadequate Dispute Resolution & Consumer Protection**
"Money transfer, virtual currency, or money service",cluster_label_30,10,**P2P Payment Dispute & Fraud Concerns**
"Money transfer, virtual currency, or money service",cluster_label_30,14,**Failure to Resolve Fraudulent Transactions**
"Money transfer, virtual currency, or money service",cluster_label_30,21,Failure to Prevent Fraud and Resolve Disputes
"Money transfer, virtual currency, or money service",cluster_label_30,2,**Fraud Protection and Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_30,18,**Consumer Financial Protection & Fraud Prevention Failures**
"Money transfer, virtual currency, or money service",cluster_label_30,20,**Inadequate Fraud Prevention and Unfair Dispute Resolution**
"Money transfer, virtual currency, or money service",cluster_label_30,17,Inadequate Fraud Prevention and Unfair Dispute Handling
"Money transfer, virtual currency, or money service",cluster_label_35,19,**Frozen Account & Unreleased Funds**
"Money transfer, virtual currency, or money service",cluster_label_35,1,**Unfair Fund Withholding & Fraud Response Failures**
"Money transfer, virtual currency, or money service",cluster_label_35,5,**Unauthorized Transaction & Account Fraud Dispute Issues**
"Money transfer, virtual currency, or money service",cluster_label_35,2,**Fraudulent Payments & Unauthorized Transfers**
"Money transfer, virtual currency, or money service",cluster_label_35,7,**Fraudulent Transaction Dispute Issues**
"Money transfer, virtual currency, or money service",cluster_label_35,9,**Fraudulent Transaction Dispute Failures**
"Money transfer, virtual currency, or money service",cluster_label_35,8,**Digital Payment App Dispute & Fraud Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_35,12,**Payment App Account & Fraud Issues**
"Money transfer, virtual currency, or money service",cluster_label_35,3,**Irreversible Money Transfer Fraud**
"Money transfer, virtual currency, or money service",cluster_label_35,16,**Payment Disputes & Account Lockouts**
"Money transfer, virtual currency, or money service",cluster_label_35,15,**Unauthorized Transfers & Account Compromise**
"Money transfer, virtual currency, or money service",cluster_label_35,6,Irreversible Peer‑to‑Peer Transfer Scams
"Money transfer, virtual currency, or money service",cluster_label_35,13,**Inadequate Fraud Protection & Dispute Resolution**
"Money transfer, virtual currency, or money service",cluster_label_35,0,**Inadequate Dispute Handling & Consumer Safety Concerns**
"Money transfer, virtual currency, or money service",cluster_label_35,4,**P2P Payment Dispute & Fraud Protection Issues**
"Money transfer, virtual currency, or money service",cluster_label_35,14,**Insufficient Fraud Protection and Dispute Resolution**
"Money transfer, virtual currency, or money service",cluster_label_35,10,**Fraud Protection and Dispute Resolution Violations**
"Money transfer, virtual currency, or money service",cluster_label_35,11,Consumer Financial Protection Violations
"Money transfer, virtual currency, or money service",cluster_label_35,18,**Consumer Financial Protection Violations**
"Money transfer, virtual currency, or money service",cluster_label_35,20,**Fraud Prevention and Dispute‑Resolution Violations under Consumer Financial Protection**
"Money transfer, virtual currency, or money service",cluster_label_35,17,**Deficient Fraud Protection & Dispute Resolution**
"Money transfer, virtual currency, or money service",cluster_label_40,1,**Frozen Accounts & Withheld Funds**
"Money transfer, virtual currency, or money service",cluster_label_40,4,**Payment Platform Fraud & Fund Withholding Complaints**
"Money transfer, virtual currency, or money service",cluster_label_40,11,Fraudulent Money Transfers and Unauthorized Payments
"Money transfer, virtual currency, or money service",cluster_label_40,6,**Unresolved Transfer & Fund‑Holding Complaints**
"Money transfer, virtual currency, or money service",cluster_label_40,9,**Unauthorized Transaction Dispute Failures**
"Money transfer, virtual currency, or money service",cluster_label_40,12,**Payment and Account Dispute Issues**
"Money transfer, virtual currency, or money service",cluster_label_40,7,**Irrecoverable P2P Transfer Fraud**
"Money transfer, virtual currency, or money service",cluster_label_40,0,**Unauthorized Transactions & Inadequate Dispute Handling**
"Money transfer, virtual currency, or money service",cluster_label_40,15,**Unauthorized Transactions & Account Compromise**
"Money transfer, virtual currency, or money service",cluster_label_40,13,**Irreversible Peer‑to‑Peer Payment Fraud**
"Money transfer, virtual currency, or money service",cluster_label_40,3,**Inadequate Dispute Resolution & Consumer Safety Risks**
"Money transfer, virtual currency, or money service",cluster_label_40,10,**Weak Consumer Safeguards & Dispute Resolution for Instant P2P Transfers**
"Money transfer, virtual currency, or money service",cluster_label_40,14,Inadequate Fraud Protection & Dispute Resolution in P2P Payments
"Money transfer, virtual currency, or money service",cluster_label_40,5,**Fraud Prevention and Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_40,2,**Fraud Prevention and Unfair Dispute Resolution Failures**
"Money transfer, virtual currency, or money service",cluster_label_40,8,Inadequate Fraud Prevention and Dispute Resolution
Checking or savings account,cluster_label_25,17,**Payment Processing & Transaction Dispute Issues**
Checking or savings account,cluster_label_25,14,**Unauthorized Transaction Dispute & Claim Denial**
Checking or savings account,cluster_label_25,15,**Locked Account & Unresolved Fraud Issues**
Checking or savings account,cluster_label_25,9,**Account Freeze & Unauthorized Access Issues**
Checking or savings account,cluster_label_25,8,**Bank Account Mismanagement and Dispute Handling Issues**
Checking or savings account,cluster_label_25,32,Account Hijacking and Fraudulent Transactions
Checking or savings account,cluster_label_25,31,**Unauthorized Transaction Dispute Failures**
Checking or savings account,cluster_label_25,36,**Bank Account Closure & Unresolved Fraud Claims**
Checking or savings account,cluster_label_25,26,**Account Lockout & Access Issues**
Checking or savings account,cluster_label_25,4,**Improper Account Changes and Unauthorised Fund Handling**
Checking or savings account,cluster_label_25,0,**Funds Access and Transaction Issues**
Checking or savings account,cluster_label_25,20,**Unexplained Account Lockouts & Funds Withholding**
Checking or savings account,cluster_label_25,6,**Fund Access Delays & Transparency Failures**
Checking or savings account,cluster_label_25,10,**Frozen Account & Fraud Resolution Issues**
Checking or savings account,cluster_label_25,1,**Improper Account Management & Fraud Disputes**
Checking or savings account,cluster_label_25,35,**Unauthorized Transactions & Funds‑Hold Disputes**
Checking or savings account,cluster_label_25,7,**Unexpected Overdraft Fees**
Checking or savings account,cluster_label_25,30,**Banking Account Dispute and Access Issues**
Checking or savings account,cluster_label_25,16,**Improper Account Freezes and Withholding of Funds**
Checking or savings account,cluster_label_25,11,**Unauthorized Transaction & Account Fraud**
Checking or savings account,cluster_label_25,28,**Bank Fraud & Unauthorized Transaction Handling Failures**
Checking or savings account,cluster_label_25,24,**Account Closure & Funds Access Issues**
Checking or savings account,cluster_label_25,5,Account Closure & Funds Access Issues
Checking or savings account,cluster_label_25,34,**Unresolved Billing and Account Errors**
Checking or savings account,cluster_label_25,33,Unjust Account Freeze & Closure Issues
Checking or savings account,cluster_label_25,2,**Fraudulent Activity & Unfair Fee Disputes**
Checking or savings account,cluster_label_25,13,Locked Account & Funds Access Issues
Checking or savings account,cluster_label_25,21,**Payroll Direct‑Deposit System Outage**
Checking or savings account,cluster_label_25,3,**Direct Deposit Delays & Missing Paychecks**
Checking or savings account,cluster_label_25,12,**Improper Fraud Handling & Account Closure Complaints**
Checking or savings account,cluster_label_25,22,**Missing Direct Deposit Delays**
Checking or savings account,cluster_label_25,19,**Excessive Overdraft Fees**
Checking or savings account,cluster_label_25,29,**Overdraft Fee Disputes & Account Closure Issues**
Checking or savings account,cluster_label_25,38,**Unexpected Overdraft Fees**
Checking or savings account,cluster_label_25,18,**Delayed Posting Overdraft Fee Dispute**
Checking or savings account,cluster_label_25,37,Direct Deposit Not Received
Checking or savings account,cluster_label_25,25,Direct Deposit Processing Failure (Potential EFTA Violation)
Checking or savings account,cluster_label_25,27,Unfair Overdraft Fees from Delayed Posting
Checking or savings account,cluster_label_25,23,Misleading High‑Yield Savings Account Advertising
Checking or savings account,cluster_label_30,4,**Banking Transaction & Account Dispute Failures**
Checking or savings account,cluster_label_30,14,**Fraud Dispute and Claim Denial**
Checking or savings account,cluster_label_30,15,**Account Lockouts & Unresolved Fraud Disputes**
Checking or savings account,cluster_label_30,19,**Account Lockout & Unauthorized Transaction Issues**
Checking or savings account,cluster_label_30,5,**Funds Transfer & Receipt Issues**
Checking or savings account,cluster_label_30,6,Improper Fund Withholding & Account Closure Issues
Checking or savings account,cluster_label_30,17,Bank Account Closure & Fraud Dispute
Checking or savings account,cluster_label_30,2,Account Lockouts & Unresolved Service Complaints
Checking or savings account,cluster_label_30,9,**Unauthorized Transactions & Improper Account Handling**
Checking or savings account,cluster_label_30,20,**Unexplained Account Closures and Funds Freeze**
Checking or savings account,cluster_label_30,3,Consumer Banking Dispute & Access Failures
Checking or savings account,cluster_label_30,12,**Unfair Account Holds and Dispute Denials**
Checking or savings account,cluster_label_30,10,**Account Mismanagement & Fraud Dispute Issues**
Checking or savings account,cluster_label_30,8,**Frozen Account & Funds Dispute Issues**
Checking or savings account,cluster_label_30,0,**Improper Overdraft Charges & Mismanaged Account Balances**
Checking or savings account,cluster_label_30,11,**Unauthorized Account Fraud**
Checking or savings account,cluster_label_30,24,**Unjust Account Closure & Inaccessible Funds**
Checking or savings account,cluster_label_30,7,**Overdraft and Unauthorized Transaction Issues**
Checking or savings account,cluster_label_30,13,**Locked Accounts & Fraud Resolution Failures**
Checking or savings account,cluster_label_30,21,**Payroll Direct‑Deposit System Outage**
Checking or savings account,cluster_label_30,18,**Paycheck Direct‑Deposit Delays**
Checking or savings account,cluster_label_30,22,**Direct Deposit Delays**
Checking or savings account,cluster_label_30,16,**Unfair Overdraft Fee Practices**
Checking or savings account,cluster_label_30,1,**Unfair Overdraft Fee and Account Management Practices**
Checking or savings account,cluster_label_30,25,**Direct Deposit Processing Failure**
Checking or savings account,cluster_label_30,23,**Deceptive Savings‑Account Interest Advertising**
Checking or savings account,cluster_label_35,9,**Unresolved Banking Transaction Disputes**
Checking or savings account,cluster_label_35,14,**Unauthorized Transaction Fraud**
Checking or savings account,cluster_label_35,15,**Fraud‑Triggered Account Freeze and Unresolved Access Issues**
Checking or savings account,cluster_label_35,19,**Account Access & Funds Restriction Issues**
Checking or savings account,cluster_label_35,1,Improper Fund Withholding & Account Access Restrictions
Checking or savings account,cluster_label_35,2,**Disputed Transactions and Unreturned Funds**
Checking or savings account,cluster_label_35,17,**Account Closure & Disputed Funds**
Checking or savings account,cluster_label_35,6,**Unauthorized Account Activity & Fraud**
Checking or savings account,cluster_label_35,0,**Unjust Account Access Restrictions and Fund Holds**
Checking or savings account,cluster_label_35,20,**Account Freeze & Funds Access Issues**
Checking or savings account,cluster_label_35,3,**Banking Dispute & Fund Access Failures**
Checking or savings account,cluster_label_35,10,**Unfair Account Practices & Fraud Dispute Handling**
Checking or savings account,cluster_label_35,8,Account Freeze & Dispute Resolution Failures
Checking or savings account,cluster_label_35,13,Improper Overdraft and Balance Management Practices
Checking or savings account,cluster_label_35,5,**Digital Wallet Account & Transaction Issues**
Checking or savings account,cluster_label_35,7,Overdraft and Unauthorized Withdrawal Issues
Checking or savings account,cluster_label_35,18,**Direct Deposit Processing Delays**
Checking or savings account,cluster_label_35,16,**Excessive Overdraft Fees**
Checking or savings account,cluster_label_35,4,**Improper Overdraft Fee Practices**
Checking or savings account,cluster_label_35,12,**Direct Deposit Processing Failure**
Checking or savings account,cluster_label_35,11,**Deceptive High‑Yield Savings Account Marketing**
Checking or savings account,cluster_label_40,9,**Bank Transaction and Account Dispute Issues**
Checking or savings account,cluster_label_40,14,**Fraudulent Transaction Disputes and Unresolved Claims**
Checking or savings account,cluster_label_40,15,**Unjust Account Lockouts & Unresolved Funds Holds**
Checking or savings account,cluster_label_40,2,**Unauthorized Transactions & Account Access Issues**
Checking or savings account,cluster_label_40,3,**Account Holds & Unavailable Funds**
Checking or savings account,cluster_label_40,1,**Fraud‑Related Account Lockouts & Dispute Handling Failures**
Checking or savings account,cluster_label_40,17,**Account Closure & Unresolved Funds**
Checking or savings account,cluster_label_40,0,**Banking Service & Fraud Dispute Issues**
Checking or savings account,cluster_label_40,6,**Unexplained Account Lockouts and Access Restrictions**
Checking or savings account,cluster_label_40,7,**Bank Account Transaction Disputes & Service Failures**
Checking or savings account,cluster_label_40,10,**Unfair Account Practices & Fraud Disputes**
Checking or savings account,cluster_label_40,13,Improper Overdraft Fees and Balance Management Practices
Checking or savings account,cluster_label_40,5,**Digital Wallet Account Access & Dispute Issues**
Checking or savings account,cluster_label_40,8,Direct Deposit Delays and Missing Funds
Checking or savings account,cluster_label_40,16,Unfair Overdraft Fee Practices
Checking or savings account,cluster_label_40,4,**Unfair Banking Practices**
Checking or savings account,cluster_label_40,12,Direct Deposit Processing Failure
Checking or savings account,cluster_label_40,11,**Deceptive Savings Account Marketing**
Credit card,cluster_label_20,13,**Unauthorized Credit Account Fraud**
Credit card,cluster_label_20,9,**Unauthorized or Fraudulent Credit Account Dispute**
Credit card,cluster_label_20,6,**Deceptive Credit Card Practices**
Credit card,cluster_label_20,30,**Unfair Treatment of Cardholder Accounts**
Credit card,cluster_label_20,10,**Credit Card Billing Disputes**
Credit card,cluster_label_20,0,**Credit Account Dispute & Mismanagement Issues**
Credit card,cluster_label_20,15,**Consumer Billing & Credit Dispute Issues**
Credit card,cluster_label_20,17,**Credit Card Account Mismanagement and Billing Disputes**
Credit card,cluster_label_20,11,**Ineffective Dispute Resolution & Fraud Response**
Credit card,cluster_label_20,2,**Credit Card Dispute & Service Issues**
Credit card,cluster_label_20,14,**Credit Card Billing & Dispute Errors**
Credit card,cluster_label_20,24,**Credit Card Account Management Issues**
Credit card,cluster_label_20,12,**Unfair Financial Services Practices**
Credit card,cluster_label_20,8,**Credit Card Account Problems**
Credit card,cluster_label_20,28,**Unauthorized Activity and Unfair Account Handling**
Credit card,cluster_label_20,3,**Credit Card Account Dispute**
Credit card,cluster_label_20,7,"**Credit Card Fraud, Unfair Fees, and Improper Account Handling**"
Credit card,cluster_label_20,27,**Credit Card Account Disputes**
Credit card,cluster_label_20,4,Credit Card Service & Dispute Issues
Credit card,cluster_label_20,23,**Account Access and Refund Failures**
Credit card,cluster_label_20,5,**Unauthorized or Erroneous Credit Card Charges**
Credit card,cluster_label_20,25,**Account Dispute & Unauthorized Activity**
Credit card,cluster_label_20,1,**Credit Card Billing & Account Dispute Issues**
Credit card,cluster_label_20,20,**Unauthorized Charges & Fraudulent Account Disputes**
Credit card,cluster_label_20,21,**Fraudulent Charges & Inadequate Dispute Support**
Credit card,cluster_label_20,18,**Unauthorized Account Activity and Credit Harm**
Credit card,cluster_label_20,31,**High Interest & Fees**
Credit card,cluster_label_20,26,**Unauthorized Credit Card Activity**
Credit card,cluster_label_20,22,**Identity Theft & Unauthorized Account Claims**
Credit card,cluster_label_20,19,Missing or Incorrect 1099‑C for Charged‑Off Debt Reporting Issues
Credit card,cluster_label_20,16,**Credit Card Account Dispute & Management Complaints**
Credit card,cluster_label_20,29,**Improper Account Closures and Unwarranted Fees**
Credit card,cluster_label_25,0,**Unauthorized Transactions & Account Fraud**
Credit card,cluster_label_25,3,**Credit Card Dispute & Fraud Resolution Issues**
Credit card,cluster_label_25,6,**Deceptive Credit Card Practices**
Credit card,cluster_label_25,15,**Unfair Credit Card Practices**
Credit card,cluster_label_25,4,**Payment and Billing Dispute Issues**
Credit card,cluster_label_25,9,**Financial Account Dispute & Service Failure**
Credit card,cluster_label_25,17,**Credit Card Account Dispute Issues**
Credit card,cluster_label_25,11,**Unresolved Fraudulent Charge & Refund Dispute Issues**
Credit card,cluster_label_25,5,**Cardholder Credit & Billing Disputes**
Credit card,cluster_label_25,14,**Billing and Credit Reporting Disputes**
Credit card,cluster_label_25,7,Banking Service and Fraud Complaints
Credit card,cluster_label_25,18,**Credit Card Service & Fraud Mishandling**
Credit card,cluster_label_25,13,**Unauthorized Activity & Unfair Account Treatment**
Credit card,cluster_label_25,8,**Billing Errors & Unauthorized Account Activity**
Credit card,cluster_label_25,2,**Credit Card Dispute & Fraud Handling Failures**
Credit card,cluster_label_25,10,Credit Card Account Management Issues
Credit card,cluster_label_25,12,**Account Dispute & Unauthorized Activity**
Credit card,cluster_label_25,1,**Credit Card Fraud and Account Disputes**
Credit card,cluster_label_25,19,**1099‑C Disputes for Charged‑Off Debt**
Credit card,cluster_label_25,16,**Credit Card Dispute & Account Management Complaints**
Credit card,cluster_label_30,0,**Fraudulent Account Activity & Dispute Resolution Failures**
Credit card,cluster_label_30,3,**Unfair Financial Service Practices**
Credit card,cluster_label_30,6,**Unfair Credit Card and Banking Practices**
Credit card,cluster_label_30,2,**Credit Card Billing and Account Dispute Issues**
Credit card,cluster_label_30,4,**Credit Card Account Issues**
Credit card,cluster_label_30,1,Unauthorized Credit Activity & Billing Disputes
Credit card,cluster_label_30,11,**Faulty Dispute and Fraud Investigation Processes**
Credit card,cluster_label_30,5,**Credit Card Account Disputes & Credit‑Related Issues**
Credit card,cluster_label_30,7,Unauthorized Account Activity & Poor Dispute Handling
Credit card,cluster_label_30,8,**Disputed Charges & Improper Account Handling**
Credit card,cluster_label_30,10,Credit Card Account Issues
Credit card,cluster_label_30,12,**Account Errors & Unauthorized Activity**
Credit card,cluster_label_30,9,**Credit Card Account Issues**
Credit card,cluster_label_35,4,**Unauthorized Account Activity & Dispute Resolution Failures**
Credit card,cluster_label_35,3,**Unfair Financial Service Practices and Account Mismanagement**
Credit card,cluster_label_35,6,**Deceptive Credit Card Practices**
Credit card,cluster_label_35,2,**Credit Card Billing Disputes and Unfair Account Practices**
Credit card,cluster_label_35,0,**Credit Card & Account Service Issues**
Credit card,cluster_label_35,9,**Unauthorized Credit Activity & Account Errors**
Credit card,cluster_label_35,5,**Unresolved Fraud & Dispute Handling Complaints**
Credit card,cluster_label_35,7,Improper Account Handling & Fraud‑Related Complaints
Credit card,cluster_label_35,8,Credit Card Account Dispute & Fraud Issues
Credit card,cluster_label_35,1,**Credit Card Account Issues**
Credit card,cluster_label_40,0,**Unauthorized Card Activity & Dispute Handling Issues**
Credit card,cluster_label_40,3,Financial Service Account Mismanagement Complaints
Credit card,cluster_label_40,6,**Deceptive Financial Services Practices**
Credit card,cluster_label_40,2,**Credit Card Account Abuse and Dispute Failures**
Credit card,cluster_label_40,4,**Unauthorized Credit Activity & Billing Disputes**
Credit card,cluster_label_40,5,**Ineffective Dispute Handling and Fraud Exposure**
Credit card,cluster_label_40,7,**Improper Account Handling & Fraud Issues**
Credit card,cluster_label_40,8,**Unauthorized Charges & Account Mismanagement**
Credit card,cluster_label_40,1,**Credit Card Account Disputes**
